accountid,doc_number,po_number,id,actual_trans_ts,ea_abbrev,qty,item_code,description,containerid,Day,actual_weight,ea_width,ea_height,ea_depth,var0,cntrl,service_class_id
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-163,19,60.8,0,0,0,CMAU4055069,C000001091441,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,52.06,0,0,0,CMAU4055069,C000001091448,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,60.8,0,0,0,CMAU4055069,C000001091429,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,66.71,0,0,0,CMAU4055069,C000001091435,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,66.71,0,0,0,CMAU4055069,C000001091447,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,54.24,0,0,0,CMAU4055069,C000001091440,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,62.99,0,0,0,CMAU4055069,C000001091432,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,60.8,0,0,0,CMAU4055069,C000001091443,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,59.06,0,0,0,CMAU4055069,C000001091445,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,61.24,0,0,0,CMAU4055069,C000001091438,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,65.62,0,0,0,CMAU4055069,C000001091437,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,62.99,0,0,0,CMAU4055069,C000001091442,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,50.31,0,0,0,CMAU4055069,C000001091431,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,62.34,0,0,0,CMAU4055069,C000001091430,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,66.71,0,0,0,CMAU4055069,C000001091446,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,62.34,0,0,0,CMAU4055069,C000001091433,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-161,19,63.43,0,0,0,CMAU4055069,C000001091444,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,61.9,0,0,0,CMAU4055069,C000001091434,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-162,19,62.99,0,0,0,CMAU4055069,C000001091439,1
100,CMAU4055069,,817937,19-Jun-19,ROLL,1,13625-202,MONTAGE DARK GREY,100-163,19,69.55,0,0,0,CMAU4055069,C000001091436,1
104,JBHU312497,,814019,05-Jun-19,ROLL,1,CB8L9380072,"SPECTROPILE*LX 938 BLACK 72""",392499021,5,60,60,24,72,JBHU312497,C000001086535,11
104,JBHU312497,,814019,05-Jun-19,ROLL,1,CB8L9380072,"SPECTROPILE*LX 938 BLACK 72""",392499003,5,75,60,24,72,JBHU312497,C000001086517,11
104,JBHU312497,,814019,05-Jun-19,ROLL,1,CB8L9380072,"SPECTROPILE*LX 938 BLACK 72""",392499019,5,60,60,24,72,JBHU312497,C000001086533,11
